title,price,sold_quantity
Samsung Note 8 Original,12999,0
Samsung Note 8 De 128 G,15000,0
Samsung Galaxy Note8,15000,0
Note 8 Nueva ,16000,0
Samsung Note 8,12600,0
"Vendo Celular Samsung Galaxy Note 8 , Color Negro Completo",12539,0
Samsung Note 8 128gb,15500,0
Celular Note 8 New,13900,0
Galaxy Note 8 128gb + Regalo,15200,0
Samsung Galaxy Note8,16500,0
Samsung Galaxy Note 8 Nueva Libre,13800,0
"Samsung Galaxy  Note 8 128gb / 6gb Ram, Nuevo.",18000,0
Galaxy Note 8 Totalmente Nueva 128g Nacional Liberada,17000,0
"Smartphone Samsung Galaxy Note 8, 6gb De Ram, 128gb, Color N",20000,0
Samsung Galaxy Note 8 128 Gb,16500,0
Note 8 64 Gb ,13900,0
Samsung Galaxy 8 Note,17999,0
Samsung Galaxy Note 8 Desbloqueado 64 Gb Negro,13949,0
Samsung Galaxy Note 8 (128 Gb Memoria Interna) Nacional.,21200,0
Tablet Samsung Note 8.0,1000,0
Galaxy Note 8 Iusacell ,15000,0
Vendo Samsung Galaxy Note 8/negro Piano ,18500,0
Galaxy Note 8,16000,0
Samsung Note 8 ,17200,0
Samsung Galaxy Note 8 128gb 6gb Ram,20000,0
Celular Samsung Galaxy Note 8,20000,0
Samsung Note 8,2000,0
Samsung Note 8 One For One,3600,0
Note 8,15000,0
"Note 8 64gb Sin Detalles, Libre De Fabrica",12000,0
Samsung Galaxy Note 8,17000,0
Samsung Galaxy Note 8 ,14500,0
Celular Samsung Note 8 N950f,15999,0
Samsung Note 8 Libre 128 Gb Estética De 100 Sin Fallas ,14000,0
"Galaxy Note 8, 128 Gb, Envio Gratis",13499,0
Samsung Note 8 128 Gb Nuevo Sellado Libre,18000,0
Samsung Galaxy Note 8 Pro. ,2500,0
Samsung Galaxy Note 8 De 128gb At&t,14000,0
Samsung Galaxy Tablet Note 8.0,2600,0
Execelente Samsung Note 8 2 Regalos Envió Gratis Grekime,14490,0
Se Cambia Galaxy Note 8,17500,0
Galaxy Note 8 De 128 Gb ,20000,0
Note 8 Samsung,15000,0
Tablet Samsung Galaxy Note 8.0,3000,0
Galaxy Note 8 128gb  Sin Detalles Garantia Hasta 2019,12899,0
Samsung Galaxy Note 8 64gb 4g Lte 12mp Tecno M Regalo Gratis,14490,0
Note 8,14000,0
Galaxy Note S8 128 Gb,15000,0
Galaxy Note 8 Con Dex Station De 128gb Negro,21000,0
Samsung Galaxy Note 8,19500,0
Note 8 Nueva Libre Para Cualquier Compañía,14000,0
Galaxi Note 8 ,18000,0
Samsung Note 8,16500,0
Samsung Galaxy Note 8 64gb,12500,0
Samsung Galaxy Note 8 De 128gb ,20000,0
Samsung Galaxy Note 8 128 Gb Nuevo ,19099,0
Samsung Galaxy Note 8,17500,0
Galaxy Note 8 ,16000,0
Samsung Galaxy Note 8,18500,0
Samsung Galaxy Note8 64gb-midnight Black,21500,0
Smartphone Samsung Galaxy Note 8,24500,0
Samsung Galaxy Note 8 Nuevo 64gb Meses Sin Intereses,16090,0
Note 8 Samsung,17500,0
Celular Movil Telefono Note 8,15750,0
Telefono Cel Note 8,15000,0
Samsung Note 8 New Ofertoon,13600,0
Samsung Note 8,9800,0
Note 8 Samsung 128 Gb Nuevo Sellado ,14000,0
Note 8 Para Piezas Estetica De 10 ,8000,0
Samsung Galaxy Note 8 64gb Nuevo,11000,0
Celular Samsung Note 8,18000,0
Samsung Galaxy Note 8 Black,13599,0
Samsung Galaxy Note 8 Sm-n9500 256 Gb (+16018901056),450,0
Samsung Galaxy Note 8,11000,0
Samsung Note 8 18gb,19000,0
Samsung Galaxy Note 8 ,550,0
Samsung Galaxy Note 8 128gb,7237,0
Galaxy Note 8 At&t Dañado,6500,1
Samsung Galaxy Note 8 128g,18500,0
Galaxy Note 8,7500,0
Samsung Note 8 De 128 Gb Black,14300,0
Note 8 128gb Libre De Fabrica,16500,0
"Galaxy Note 8... Está Nuevo, Jamás Usado..",18000,0
Celular Samsung Galaxy Note 8 Desbloqueado 128gb,15500,0
Samsung Galaxy Note 8,13300,0
Samsung Galaxy Note 8 Libre 64gb Orchid Gray Envio Inmediato,12500,0
Samsung Note 8 Clon Dorado,1500,0
Mica De Cristal Curva Temprado,80,0
Eaglestar  Samsung Galaxy Nota 8 N950 (fit All Carrier) Grey,571,0
Galaxy Notor Lanyard Tarjeta Slot Samsung Galaxy Note 8 Gray,579,0
Samsung Galaxy Note 8 En Caja Garantia Nacional,13999,0
Samsung Note 8 Nuevo En Caja,19999,0
"Cambio Galaxy S7 Edge Por S8 Plus, Note 8 . . . ",3000,0
2x Bakewel Cristal Sólo Reemplazo Samsung Galaxy Nota 8 N950,682,0
